FDP Name,Street Name,Section,Latitude,Longitude
KGU_C001_DP0001,VILLA PALMA TIMUR,TAMAN VILLA PALMA,5.375806829,116.1571138
KGU_C001_DP0002,VILLA PALMA TIMUR,TAMAN VILLA PALMA,5.375584276,116.1573829
KGU_C001_DP0003,VILLA PALMA,PLAZA PALMA,5.375221979,116.1576992
KGU_C001_DP0004,VILLA PALMA 2,TAMAN VILLA PALMA,5.374914604,116.1567329
KGU_C001_DP0005,VILLA PALMA 2,TAMAN VILLA PALMA,5.375081438,116.1568893
KGU_C001_DP0006,VILLA PALMA 2,TAMAN VILLA PALMA,5.375304322,116.1570627
KGU_C001_DP0007,VILLA PALMA 1,TAMAN VILLA PALMA,5.374607031,116.1571343
KGU_C001_DP0008,VILLA PALMA 1,TAMAN VILLA PALMA,5.374794288,116.1572923
KGU_C001_DP0009,VILLA PALMA 1,TAMAN VILLA PALMA,5.374996977,116.1574333
KGU_C001_DP0010,VILLA PALMA BARAT,TAMAN VILLA PALMA,5.374752867,116.156226
KGU_C001_DP0011,VILLA PALMA,TAMAN VILLA PALMA,5.374575116,116.156487
KGU_C001_DP0012,VILLA PALMA BARAT,TAMAN VILLA PALMA,5.374104308,116.1570271
KGU_C001_DP0013,TAMAN WAWASAN JUTA 2 A,TAMAN WAWASAN JUTA 2,5.378225642,116.163903
KGU_C001_DP0014,TAMAN WAWASAN JUTA 2 A,TAMAN WAWASAN JUTA 2,5.37774288,116.1634688
KGU_C001_DP0015,TAMAN WAWASAN JUTA 2 A,TAMAN WAWASAN JUTA 2,5.377190014,116.1630281
KGU_C001_DP0016,TAMAN WAWASAN JUTA 2 A,TAMAN WAWASAN JUTA 2,5.376069648,116.1620878
KGU_C001_DP0017,TAMAN WAWASAN JUTA 2 A,TAMAN WAWASAN JUTA 2,5.377870883,116.1633345
KGU_C001_DP0018,TAMAN WAWASAN JUTA 2 B,TAMAN WAWASAN JUTA 2,5.377314253,116.162833
KGU_C001_DP0019,TAMAN WAWASAN JUTA 2 C,TAMAN WAWASAN JUTA 2,5.37619511,116.1619287
KGU_C001_DP0020,TAMAN WAWASAN JUTA 2 C,TAMAN WAWASAN JUTA 2,5.378407297,116.163337
KGU_C001_DP0021,TAMAN WAWASAN JUTA 2 C,TAMAN WAWASAN JUTA 2,5.377760198,116.162807
KGU_C001_DP0022,TAMAN WAWASAN JUTA 2 C,TAMAN WAWASAN JUTA 2,5.377279993,116.1623795
KGU_C001_DP0023,VILLA PALMA 5,TAMAN VILLA PALMA,5.376409899,116.1616582
KGU_C001_DP0024,VILLA PALMA 6,TAMAN VILLA PALMA,5.377196258,116.1546936
KGU_C001_DP0025,VILLA PALMA 6,TAMAN VILLA PALMA,5.376919732,116.1544633
KGU_C001_DP0026,VILLA PALMA 7,TAMAN VILLA PALMA,5.37739256,116.1541553
KGU_C001_DP0027,VILLA PALMA BARAT,TAMAN VILLA PALMA,5.376687617,116.1539771
KGU_C001_DP0028,VILLA PALMA BARAT,TAMAN VILLA PALMA,5.375713353,116.1551556
KGU_C001_DP0030,VILLA PALMA 4,TAMAN VILLA PALMA,5.375760574,116.1558588
KGU_C001_DP0031,VILLA PALMA 3,TAMAN VILLA PALMA,5.375711994,116.1564692
KGU_C001_DP0032,VILLA PALMA 3,TAMAN VILLA PALMA,5.3754429,116.1562328
KGU_C001_DP0033,VILLA PALMA BARAT,TAMAN VILLA PALMA,5.377780722,116.1547788
KGU_C001_DP0034,VILLA PALMA BARAT,TAMAN VILLA PALMA,5.376785534,116.1559461
KGU_C001_DP0035,MUHIBBAH,TAMAN MUHIBBAH,5.378344342,116.1552229
KGU_C001_DP0036,MUHIBBAH,TAMAN MUHIBBAH,5.378063939,116.1555441
KGU_C001_DP0037,MUHIBBAH,TAMAN MUHIBBAH,5.377741514,116.1558799
KGU_C001_DP0038,MUHIBBAH,TAMAN MUHIBBAH,5.377475811,116.1562234
KGU_C001_DP0039,MUHIBBAH,TAMAN MUHIBBAH,5.376612121,116.1572436
KGU_C001_DP003A,VILLA PALMA,PLAZA PALMA,5.375044465,116.1579316
KGU_C001_DP0040,MUHIBBAH,TAMAN MUHIBBAH,5.375450832,116.1585676
KGU_C001_DP0041,MUHIBBAH 7,TAMAN MUHIBBAH,5.377154322,116.1565844
KGU_C001_DP0042,VILLA PALMA 2,VILLA PALMA PHASE 2,5.373512871,116.1543045
KGU_C001_DP0043,VILLA PALMA 2,VILLA PALMA PHASE 2,5.373226355,116.1540519
KGU_C001_DP0044,KAMPUNG KGU PAMALAN BYPASS,KAMPUNG KENINGAU,5.372936656,116.1538185
KGU_C001_DP0045,VILLA PALMA 2B,VILLA PALMA PHASE 2,5.373697515,116.153729
KGU_C001_DP0046,VILLA PALMA 2A,VILLA PALMA PHASE 2,5.373516055,116.1533357
KGU_C001_DP0047,VILLA PALMA 2A,VILLA PALMA PHASE 2,5.373315494,116.1535595
KGU_C001_DP0048,VILLA PALMA 2A,VILLA PALMA PHASE 2,5.373089464,116.1531918
KGU_C001_DP0049,LUANGAN,KAMPUNG LINSOSOD,5.375090621,116.1549662
KGU_C001_DP0050,LUANGAN,KAMPUNG LINSOSOD,5.374425304,116.1549679
KGU_C001_DP0051,LUANGAN,KAMPUNG LINSOSOD,5.374727016,116.1548121
KGU_C001_DP0052,LUANGAN,KAMPUNG LINSOSOD,5.374495357,116.154607
KGU_C001_DP0053,LUANGAN,KAMPUNG LINSOSOD,5.37426589,116.1544145
KGU_C001_DP0054,LUANGAN,KAMPUNG LINSOSOD,5.374015062,116.1542042
KGU_C001_DP011A,VILLA PALMA,TAMAN VILLA PALMA,5.374369232,116.1567466
KGU_C001_DP023A,VILLA PALMA 5,TAMAN VILLA PALMA,,
KGU_C001_DP027A,VILLA PALMA BARAT,TAMAN VILLA PALMA,,
KGU_C001_DP028A,VILLA PALMA BARAT,TAMAN VILLA PALMA,,
KGU_C001_DP030A,VILLA PALMA 4,TAMAN VILLA PALMA,,
KGU_C001_DP033A,VILLA PALMA BARAT,TAMAN VILLA PALMA,,
KGU_C001_DP034A,VILLA PALMA BARAT,TAMAN VILLA PALMA,,
KGU_C001_DP050A,LUANGAN,KAMPUNG LINSOSOD,5.373958355,116.1545647
KGU_C002_DP0001,MDK 3A,TAMAN MDK,5.367767136,116.1608332
KGU_C002_DP0004,MDK 3A,TAMAN MDK,5.36845709,116.1595042
KGU_C002_DP0009,TAMAN MDK (1),TAMAN MDK,5.372704171,116.1625453
KGU_C002_DP0013,MDK 4B (3),TAMAN MDK,5.369917277,116.1616379
KGU_C002_DP0014,MDK 4B (3),TAMAN MDK,5.370488903,116.1620901
KGU_C002_DP0015,MDK 4B (3),TAMAN MDK,5.37082198,116.1623621
KGU_C002_DP0016,MDK 4B (3),TAMAN MDK,5.370471624,116.1626979
KGU_C002_DP0017,MDK 4B (3),TAMAN MDK,5.370296354,116.1625404
KGU_C002_DP0018,MDK 4B (3),TAMAN MDK,5.370059363,116.1623467
KGU_C002_DP0019,MDK 4B (3),TAMAN MDK,5.369828033,116.162123
KGU_C002_DP001A,MDK 3A,TAMAN MDK,5.367806877,116.1614109
KGU_C002_DP0020,MDK 4B (3),TAMAN MDK,5.369647967,116.1619833
KGU_C002_DP0021,MDK 4B (2),TAMAN MDK,5.37015236,116.163267
KGU_C002_DP0022,MDK 4B (2),TAMAN MDK,5.36997546,116.1630838
KGU_C002_DP0023,MDK 4B (2),TAMAN MDK,5.369822423,116.1629486
KGU_C002_DP0024,MDK 4B (2),TAMAN MDK,5.369512525,116.1626867
KGU_C002_DP0025,MDK 4B (2),TAMAN MDK,5.369309603,116.1625297
KGU_C002_DP0026,MDK 4B (2),TAMAN MDK,5.369160271,116.1624005
KGU_C002_DP0029,MDK 2A,TAMAN MDK,5.371375616,116.163817
KGU_C002_DP0033,LUAGAN,KAMPUNG PASIR PUTEH,5.373028496,116.164377
KGU_C002_DP004A,MDK 3A,TAMAN MDK,5.367970358,116.1599601
KGU_C002_DP009A,TAMAN MDK (1),TAMAN MDK,5.373481855,116.1627853
KGU_C002_DP015A,MDK 4B (3),TAMAN MDK,5.370616575,116.1627826
KGU_C002_DP029A,MDK 2A,TAMAN MDK,5.371590209,116.1633553
KGU_C002_DP033A,LUAGAN,KAMPUNG SONDOTON BARU,5.370602155,116.1671406
KGU_C002_DP033B,LUAGAN,KAMPUNG PASIR PUTEH,5.371947219,116.1656896
KGU_C003_DP0002,SABANA,TAMAN SABANA FASA 3,5.371101549,116.1557417
KGU_C003_DP0002,SABANA,TAMAN SABANA FASA 3,5.371101549,116.1557417
KGU_C003_DP0003,SABANA,TAMAN SABANA FASA 3,5.370938997,116.1558615
KGU_C003_DP0003,SABANA,TAMAN SABANA FASA 3,5.370938997,116.1558615
KGU_C003_DP0004,SABANA,TAMAN SABANA FASA 3,5.370763722,116.1559147
KGU_C003_DP0004,SABANA,TAMAN SABANA FASA 3,5.370763722,116.1559147
KGU_C003_DP0010,SABANA 3,TAMAN SABANA FASA 3,5.371676953,116.1565797
KGU_C003_DP0010,SABANA 3,TAMAN SABANA FASA 3,5.371676953,116.1565797
KGU_C003_DP0011,SABANA 3,TAMAN SABANA FASA 3,5.371355826,116.1569241
KGU_C003_DP0011,SABANA 3,TAMAN SABANA FASA 3,5.371355826,116.1569241
KGU_C003_DP0018,SABANA,TAMAN SABANA FASA 4,5.370234091,116.1573793
KGU_C003_DP0018,SABANA,TAMAN SABANA FASA 4,5.370234091,116.1573793
KGU_C003_DP0019,SABANA,TAMAN SABANA FASA 4,5.370387154,116.1574971
KGU_C003_DP0019,SABANA,TAMAN SABANA FASA 4,5.370387154,116.1574971
KGU_C003_DP0020,SABANA,TAMAN SABANA FASA 4,5.370534082,116.1576441
KGU_C003_DP0020,SABANA,TAMAN SABANA FASA 4,5.370534082,116.1576441
KGU_C003_DP0021,SABANA,TAMAN SABANA FASA 4,5.369849697,116.1577824
KGU_C003_DP0021,SABANA,TAMAN SABANA FASA 4,5.369849697,116.1577824
KGU_C003_DP0022,SABANA,TAMAN SABANA FASA 4,5.369998375,116.1579212
KGU_C003_DP0022,SABANA,TAMAN SABANA FASA 4,5.369998375,116.1579212
KGU_C003_DP0023,SABANA,TAMAN SABANA FASA 4,5.369436463,116.158308
KGU_C003_DP0023,SABANA,TAMAN SABANA FASA 4,5.369436463,116.158308
KGU_C003_DP0024,SABANA,TAMAN SABANA FASA 4,5.36960753,116.1584423
KGU_C003_DP0024,SABANA,TAMAN SABANA FASA 4,5.36960753,116.1584423
KGU_C003_DP0025,SABANA,TAMAN SABANA FASA 4,5.369776985,116.1585765
KGU_C003_DP0025,SABANA,TAMAN SABANA FASA 4,5.369776985,116.1585765
KGU_C003_DP0026,SABANA,TAMAN SABANA FASA 4,5.369230405,116.1587781
KGU_C003_DP0026,SABANA,TAMAN SABANA FASA 4,5.369230405,116.1587781
KGU_C003_DP0027,SABANA,TAMAN SABANA FASA 4,5.370061208,116.158707
KGU_C003_DP0027,SABANA,TAMAN SABANA FASA 4,5.370061208,116.158707
KGU_C003_DP0028,SABANA,TAMAN SABANA FASA 4,5.370316404,116.1583634
KGU_C003_DP0028,SABANA,TAMAN SABANA FASA 4,5.370316404,116.1583634
KGU_C003_DP0029,SABANA,TAMAN SABANA FASA 4,5.370506928,116.1581208
KGU_C003_DP0029,SABANA,TAMAN SABANA FASA 4,5.370506928,116.1581208
KGU_C003_DP0030,SABANA,TAMAN SABANA FASA 1,5.370072463,116.1592051
KGU_C003_DP0030,SABANA,TAMAN SABANA FASA 1,5.370072463,116.1592051
KGU_C003_DP0031,SABANA,TAMAN SABANA FASA 1,5.370103743,116.1595421
KGU_C003_DP0031,SABANA,TAMAN SABANA FASA 1,5.370103743,116.1595421
KGU_C003_DP0032,SABANA,TAMAN SABANA FASA 1,5.370221954,116.1596493
KGU_C003_DP0032,SABANA,TAMAN SABANA FASA 1,5.370221954,116.1596493
KGU_C003_DP0039,WAWASAN JUTA 2,TAMAN WAWASAN JUTA 1,5.371485204,116.1591073
KGU_C003_DP0039,WAWASAN JUTA 2,TAMAN WAWASAN JUTA 1,5.371485204,116.1591073
KGU_C003_DP0040,WAWASAN JUTA 2,TAMAN WAWASAN JUTA 1,5.371559469,116.1593561
KGU_C003_DP0040,WAWASAN JUTA 2,TAMAN WAWASAN JUTA 1,5.371559469,116.1593561
KGU_C003_DP0042,WAWASAN JUTA 1,TAMAN WAWASAN JUTA 1,5.370874138,116.1595185
KGU_C003_DP0042,WAWASAN JUTA 1,TAMAN WAWASAN JUTA 1,5.370874138,116.1595185
